clothing_name,clothing_color,clothing_image_url,Cloth1,Cloth2,category,skin_tone,description,price
kort & Pant,Copper ,https://product-images-cdn.liketoknow.it/m28nIi6L5zZVrUkseJz5.XTZ1BxMvfI6CAE0Fv8syX2o6tYO24JLVwbZIqeZ4ksfUGsVLgxNWHcKm0RhKx5oaNMUsfMOlBU5TNfotrwXJxfN6tFFJSaW_TAO9EaCq88XxT6ChunVjbXAUn91k1kT_TR6bYUaRHU2aVxkpxciXmvi5YdKnPrCd17gbpc-?v=0&auto=format&fm=webp&w=450&q=80&dpr=2,https://rstyle.me/+ky2CxPtKkTwKmi4fOVbUiQ?li=196c1eba-de82-11ef-a46e-0242ac11000f&lpm=SIMILAR&pt=timeline&__cid=1144&l=en&p=explore-displayName-posts-id&rr=external&r=external&vid=019a5d83-6b47-41e3-91a3-99d73a5d2661&hpd=false,https://rstyle.me/+Q0f_KfziWiFSdDkSJ8DPbA?li=196c1eba-de82-11ef-a46e-0242ac11000f&lpm=SIMILAR&pt=timeline&__cid=1144&l=en&p=explore-displayName-posts-id&rr=external&r=external&vid=019a5d83-6b47-41e3-91a3-99d73a5d2661&hpd=false,Winter Outfir,Tan,"Steal the show wearing this red short kurti from Ritu Kumar. Tailored to sartorial perfection from viscose and crepe fabric, it assures a soft and soothing touch against the skin. The band neck adds to its appeal. Exuding full sleeves, it is sure to fetch you compliments from all. ",5999
Brown r Banarasi Silk Saree,brown,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/d/d/dd7d1daKT-102MN_1.jpg?rnd=20200526195200&tr=w-1080,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/d/d/dd7d1daKT-102MN_2.jpg?rnd=20200526195200&tr=w-1080,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/d/d/dd7d1daKT-102MN_3.jpg?rnd=20200526195200&tr=w-1080,Sari,Tan,Brown Woven Designer Banarasi Silk Kanjivaram Saree with Unstitched Blouse,"1,200"
Grey colored Georgette Lehenga,Gray,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSYqUuzS1Xcw0GzBTRotNyuZJn53E-N9jubYu_b49ApszB-CVtr5DC3O-aIH4ETsx6lJMIVe-m5i2uaBuTf7AbZOa1X4F06-Wy1pGKOT3Fv,,,Bridal Lehnga,Tan,Grey colored Georgette Lehenga choli with Heavy Embroidery Sequence work,"2,999"
Shirt & Touser,Royal Blue ,https://m.media-amazon.com/images/S/shoppable-media-external-prod-iad-us-east-1/4d13d699-904f-4bc5-a862-170a4704e91b/d9357-4727-4193-9c97-3726a19f2._AC_._SX1200_SCLZZZZZZZ_.png,https://www.amazon.com/dp/B0BJB3HF7K?linkCode=spc&tag=onamzmathil0a-20&creativeASIN=B0BJB3HF7K&asc_item-id=amzn1.shoppablemedia.v1.9c918102-7b25-48fb-b012-36bfaeb00c24&ref_=aip_sf_photo_spv_ofs_d_asin,https://www.amazon.com/dp/B0CJB8GGMV?linkCode=spc&tag=onamzmathil0a-20&creativeASIN=B0CJB8GGMV&asc_item-id=amzn1.shoppablemedia.v1.9c918102-7b25-48fb-b012-36bfaeb00c24&ref_=aip_sf_photo_spv_ofs_d_asin,Work Outfit,Dark,,"4,000"
Weekend Full Set,Gold ,https://d2bzx2vuetkzse.cloudfront.net/fit-in/0x700/outfits/ace65384-cb3c-4408-b962-b73f7db19a5b.jpeg,https://shoplook.io/product-preview/alberta-ferretti-alberta-ferretti-highwaisted/11321150?from=OutfitItems,https://shoplook.io/product-preview/araucaria-crinkle-lam/11426316?from=OutfitItems,Weekend Outfit, Dark,"Steal the show wearing this red short kurti from Ritu Kumar. Tailored to sartorial perfection from viscose and crepe fabric, it assures a soft and soothing touch against the skin. The band neck adds to its appeal. Exuding full sleeves, it is sure to fetch you compliments from all. ","8,000"
Top Plazu With bag Sandals,  Rich Green ,https://product-images-cdn.liketoknow.it/Xz08SsCJ4o9r4ZFQ7h.o4_frDH0ijDd3MRGnZrPYRtAXbMi.p0A.W5y0TovjMzBKeT72AdZdeGh1eYq.rEWv.V7ckIU0WzuG3ByJIBYi6weRW7OnRFUTzfIWpz0F5HQZ0Z9w2OaS2Nd9p_8FAs_p6jDmQzCXOE9rJODGiiDPXj2yeffGmIhqLb7HOP0-?v=0&auto=format&fm=webp&w=450&q=80&dpr=2,https://product-images-cdn.liketoknow.it/Ji0CWuctUy4s0rlC7OlQMbbSTfN.6LHbP9Wc9A9hV5jCbTVSx7_IxabkvzCyUGHyS_xzQOHQGDthGIe.Se3oMsJMoXW4A8rMEgxaUIMqSoDDV.2qPee6tTQ4B8bsWaW_A9HIH5aAcyy16LDaH5FBQ1klQYTwU_GhElBDjH1LK4xbQRazWUijpUdytNECf0bjNqZ8a5jdJJqT?v=2&auto=format&fm=webp&w=256&h=256&fit=crop&q=80,https://rstyle.me/+gUL8BBujX-Gk0AldQw_Hnw?li=2674a0c6-5138-11ef-b5b7-0242ac110013&lpm=EXACT&pt=timeline&__cid=1144&l=en&p=explore-displayName-posts-id&rr=external&r=external&vid=b6c305e3-f1e0-43a1-875f-a860c93a15af&hpd=false,Summer Outfit,Dark,"Make a bold statement with this elegant maroon bodycon dress featuring a sleek silhouette and stylish shoulder cut-outs. Tailored to hug your curves in all the right places, this dress is made from stretchable, soft-touch fabric for both comfort and confidence. Ideal for evening parties, cocktail events, or special dinners, it's the perfect blend of sophistication and allure. Just add heels and a clutch to complete your glam look.","2,000"
Kurta Plazu,Hot Pink,https://kapraye.com/cdn/shop/files/051A4152_158e57aa-f65e-4fdf-bf63-b47c3c320b1c.jpg?v=1724308548&width=1100,https://kapraye.com/cdn/shop/files/051A4194.jpg?v=1724308547&width=1100,https://kapraye.com/cdn/shop/files/051A4210_92c03413-b55e-401c-93c4-067afbc30cf4.jpg?v=1724308547&width=1100,Party Wear Outfir,Dark,"This co-ords consists of Cami Top , Cardigan and trousers Olive green solid cami top , shoulder strap neck, sleeveless, and crop waist hem Comes with a matching cardigan Olive-Green solid mid-rise trousers, has slip-on closure and flared hem","3,000"
kurta plazu,Turqoise,https://i.pinimg.com/736x/9e/34/29/9e3429d2e680ad3825e7109a757831ef.jpg,,,Traditional Outfir,Dark,"Steal the show wearing this red short kurti from Ritu Kumar. Tailored to sartorial perfection from viscose and crepe fabric, it assures a soft and soothing touch against the skin. The band neck adds to its appeal. Exuding full sleeves, it is sure to fetch you compliments from all. ","2,000"
Kargo Jeans with wool,Burnt orange,https://i.pinimg.com/736x/6f/b7/6e/6fb76e1ce35c0fe11ffb360c46026c52.jpg,,,Winter Outfit Outfit,Dark,"Make a bold statement with this elegant maroon bodycon dress featuring a sleek silhouette and stylish shoulder cut-outs. Tailored to hug your curves in all the right places, this dress is made from stretchable, soft-touch fabric for both comfort and confidence. Ideal for evening parties, cocktail events, or special dinners, it's the perfect blend of sophistication and allure. Just add heels and a clutch to complete your glam look.","5,000"
Dark still grey tissue handloom saree,Dark Gray,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT5x7HE2iY63_Y4K6uGriYohhBb8n9VynEiGR1JrAAR3lIDNjTNNeg_D-KTtfNum9C5AqgBC3uZsJUH-Ot_MnmT0t482aCbdN8mP-mTT1_OOyBenH6wAxfn,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQ7BrMgGM0O-6LVuNj2t8cVlW2Y8IFszKWR5czb-I76wEB7WFIcOOlZPHBr5iAYc2bxH6rzozhmP9EFIr6vmXDvvjDrT68NAZc9UaGHzHEA9JT-PKovt55h,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcROIKIwCiQhCaJel7uYlr-yEnY0GsVTASrA4lHk0Y4Bbeo180D_zu0SS1n0olCgv19OV3ljtSSN9sofJ85ws25pgOwpQPcCEqvAURrrM2NstCgfAis4RnU5Ew,Sari,Dark,"ion We are presenting some new colour options in tissue handloom saree….the speciality of tissue handloom saree is light weight , soft, easy to drape…The components of issue fabric is pure zari tissue with pure cotton..Saree length is 6.5.mtr ..With running bp..","1,460"
 Sari,Hot Pink,https://www.labelnitika.com/cdn/shop/files/PATP7456.jpg?v=1720769219&width=823,,,Sari,Dark,This saree is a timeless choice that you will treasure forever.,"1,300"
Ethnic Dark Green Maheshwari Silk Cotton Saree,Deep Green ,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR3OlLFCuvUSmIxeiNWyd9_fhlKHqgS_-BCqq73AEAHYaOnCaiI9qfSEjbReqXy39Pr20E7mYbCjuje1Kot03PBSNs5iD65I0yVvaAUrNrk1zIwJJjKj4V_oQ,,,,Dark,"Drape yourself in elegance with the 'Ethnic Dark Green' Maheshwari silk cotton saree, a true embodiment of timeless ethnic wear.",800
Maroon Bridal Lehenga Set,Burgundy,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQQMp_-UhvBvE_lGgwnVjzvGmyI60Jelai0UE2cb_sV5RzAxOlRvTR8VNkDgsSHUBubqv6iQtfh4zgw2u_py8TJUYGq3q42E8iO8Ui0Cm9Q,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTnWWz_QuGCLgBk2wXSC5OReX8EjWF76FkIHG3p3qpfOC3lXklHTeQwBsyofVvy9-QcLjEd_peGGXxJpbUMB7WDmjP2E9PvH24X-w61MdMzPYqTV8Dhr5AbBw,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT7mTwMSTG3s5nTXdvOaJb-muKSPhsEPVhtZJ1LMabQvNZofBMvT4AH96v0k5XYhu47640SI5qNDY0Ds4prD7ojO7OX8s4zPeijIB51yVwTxYAlIErqUtoUeA,Bridal Lehnga,Dark,Featuring a maroon bridal lehenga set paired with organza base dupatta with antique gold dori and embellished hand embroidery.,"22,000"
